cluster_id,center_lat,center_lon,total_violations,top_junction,dominant_violation_type,dominant_vehicle_type,peak_hour_ist
0,12.981950787722377,77.60803068589553,25162,BTP051 - Safina Plaza Junction,WRONG PARKING,PASSENGER AUTO,10
1,12.967947991464813,77.58851446289735,441,BTP076 - Hudson Circle,NO PARKING,SCOOTER,4
2,12.972104275700058,77.6071442048096,1246,BTP051 - Safina Plaza Junction,NO PARKING,SCOOTER,12
3,12.939238944490898,77.69646450114583,2313,No Junction,WRONG PARKING,CAR,8
4,13.010289922033657,77.55333850208126,10288,"BTP001 - 10th Cross, Dr. Rajkumar Road",WRONG PARKING,CAR,10
5,12.996270633513703,77.66857356254437,1957,No Junction,WRONG PARKING,PASSENGER AUTO,10
6,13.00676697721487,77.57053693054989,3928,No Junction,WRONG PARKING,CAR,7
7,12.999195622502583,77.54995339374025,8899,BTP027 - Modi Bridge Junction,WRONG PARKING,SCOOTER,8
8,12.989297925839795,77.59914961912146,774,BTP171 - Indian Express (Balekundri),WRONG PARKING,SCOOTER,4
9,13.008469765185788,77.69537179012964,4122,No Junction,WRONG PARKING,SCOOTER,0
10,12.992610132043689,77.58894038298193,2985,BTP032 - Windsor Circle,WRONG PARKING,SCOOTER,3
11,12.920956799816121,77.66539503096472,282,No Junction,WRONG PARKING,SCOOTER,11
12,12.972531734018155,77.57759570112646,55894,BTP082 - KR Market Junction,WRONG PARKING,SCOOTER,9
13,12.9304761983148,77.68540994290315,1201,No Junction,NO PARKING,CAR,8
14,12.960959725481798,77.51170762269807,467,No Junction,NO PARKING,CAR,12
15,12.99832730392726,77.57092353675655,4016,No Junction,WRONG PARKING,CAR,10
16,13.005699722743595,77.68580158661274,1305,No Junction,WRONG PARKING,CAR,10
17,12.977101590778705,77.5707821961912,1554,BTP048 - Shanthala Junction,NO PARKING,PASSENGER AUTO,7
18,12.928651072270531,77.58099984057971,1035,"BTP189 - New Diagonal Road, Jayanagar",NO PARKING,SCOOTER,8
19,12.972962935692307,77.61601898024615,1625,No Junction,NO PARKING,PASSENGER AUTO,4
20,12.961987198219813,77.59816613126935,1292,BTP172 - Nanjappa Circle,NO PARKING,SCOOTER,4
21,12.974240013727622,77.54754996442469,7970,BTP020 - Hosahalli Metro Station,NO PARKING,SCOOTER,11
22,13.017942735833334,77.53160539849999,600,No Junction,WRONG PARKING,CAR,11
23,13.071056098943037,77.5879482486864,5424,No Junction,WRONG PARKING,SCOOTER,11
24,12.95318783544148,77.54228781340275,1693,BTP096 - Gali Anjaneya Temple,WRONG PARKING,SCOOTER,1
25,12.94167123090002,77.56709851047844,436,No Junction,NO PARKING,CAR,3
26,13.035312884176015,77.58902923736758,3271,No Junction,NO PARKING,SCOOTER,4
27,13.09965320960452,77.58866427062148,177,No Junction,NO PARKING,SCOOTER,11
28,12.997270752439023,77.56843143252033,246,No Junction,WRONG PARKING,CAR,10
29,12.926000637001327,77.67654574243177,718,No Junction,WRONG PARKING,CAR,4
30,12.988763722976989,77.55021793574903,654,"BTP170 - Dr. Bheem Rao Palace, Chord Road",WRONG PARKING,CAR,10
31,12.927477340505341,77.67989129559626,1287,No Junction,WRONG PARKING,MAXI-CAB,3
32,12.933773948774258,77.69081245176517,8965,No Junction,NO PARKING,SCOOTER,4
33,12.93164959602649,77.58603961589404,151,BTP219 - Canara Bank Junction,NO PARKING,CAR,9
34,12.9955457475195,77.69570331566928,1355,No Junction,NO PARKING,PASSENGER AUTO,11
35,13.028130773812157,77.57325140209946,905,No Junction,WRONG PARKING,CAR,11
36,12.95145421534326,77.71747926967433,391,No Junction,WRONG PARKING,SCOOTER,8
37,12.986228166812229,77.55588448820961,458,"BTP210 - 50th cross, 12th Main , Rajajinagar",WRONG PARKING,CAR,3
38,12.899640849066895,77.67545881769927,589,No Junction,NO PARKING,CAR,11
39,12.987575798061389,77.73464247689822,619,No Junction,PARKING ON FOOTPATH,MOTOR CYCLE,4
40,12.978398472955265,77.54329338961973,390,BTP067 - Jai Muni Rao Circle,WRONG PARKING,CAR,11
41,12.966073229237189,77.53776587924168,3782,"BTP016 - 5th Main Road, RPC Layout",WRONG PARKING,SCOOTER,11
42,12.98529973848923,77.55355498457855,929,BTP061 - Bhashyam Circle,NO PARKING,SCOOTER,9
43,12.937202961662031,77.58493644943465,427,BTP218 - Syndicate Bank Junction,NO PARKING,SCOOTER,7
44,13.050020880170576,77.59312241364607,469,No Junction,NO PARKING,CAR,3
45,12.971473013328373,77.7119517530075,687,No Junction,WRONG PARKING,CAR,3
46,12.892311339532736,77.63777883334203,825,No Junction,WRONG PARKING,CAR,2
47,12.971750631195528,77.65809476555289,1230,No Junction,NO PARKING,SCOOTER,7
48,13.093627438154613,77.5942199436409,401,No Junction,WRONG PARKING,SCOOTER,5
49,12.975720201625359,77.55989862729648,1733,BTP074 - Leprosy Hospital Junction,WRONG PARKING,SCOOTER,4
50,12.981285184683841,77.59848308875878,2135,BTP042 - Minsk Square Junction (CTO),WRONG PARKING,SCOOTER,4
51,12.959493226021854,77.57705950946985,2471,BTP104 - Medical College Circle,WRONG PARKING,SCOOTER,11
52,13.185456631471673,77.67998661270458,4607,No Junction,NO PARKING,CAR,4
53,12.998443108257243,77.5420342750735,885,"BTP206 - Shankara Mutt Circle, Vijayanagar",WRONG PARKING,CAR,5
54,12.912483203740475,77.63472807901402,1134,No Junction,WRONG PARKING,SCOOTER,14
55,12.957781567816442,77.70159305673805,1812,No Junction,NO PARKING,CAR,3
56,12.841896132916574,77.64580256028417,2004,No Junction,WRONG PARKING,SCOOTER,12
57,13.000345006845182,77.6769317994349,2081,No Junction,NO PARKING,PASSENGER AUTO,1
58,13.047506593442625,77.57590515389344,976,No Junction,WRONG PARKING,MOTOR CYCLE,3
59,12.964699388757976,77.71776934128621,2037,No Junction,WRONG PARKING,MAXI-CAB,5
60,12.906532611691883,77.63002330476564,1210,No Junction,WRONG PARKING,SCOOTER,13
61,13.063227681843578,77.5915551111732,358,No Junction,WRONG PARKING,CAR,13
62,12.90806554575707,77.60078947620633,601,BTP130 - GD Mara Junction,NO PARKING,SCOOTER,11
63,12.977126800215517,77.58985688836206,464,BTP041 - Gopal Gowda Circle,NO PARKING,SCOOTER,2
64,12.983825149596695,77.5777602171499,439,BTP054 - Shivananda Circle,NO PARKING,CAR,8
65,12.98924388920705,77.57348525,1362,BTP057 - Anand Rao Junction,NO PARKING,CAR,11
66,12.875883376948051,77.64797011883117,308,No Junction,WRONG PARKING,CAR,2
67,12.950585685795238,77.69977303777715,1256,No Junction,WRONG PARKING,CAR,3
68,13.008225504587156,77.52674958929664,327,No Junction,NO PARKING,CAR,11
69,12.94409374645623,77.57111083612529,1980,BTP108 - Tagore Park Junction,WRONG PARKING,SCOOTER,10
70,12.935952836312849,77.51789596759777,358,No Junction,WRONG PARKING,SCOOTER,11
71,12.979183272706486,77.69511925690357,500,No Junction,NO PARKING,MAXI-CAB,3
72,12.959724026565675,77.64902224952088,568,No Junction,NO PARKING,PASSENGER AUTO,5
73,12.959556044810983,77.64510581426875,794,"BTP148 - 17th Main, Doopanahalli Bus Stop",NO PARKING,MAXI-CAB,3
74,12.876268878805396,77.5959911071291,519,No Junction,NO PARKING,SCOOTER,6
75,12.988078385012093,77.53757366029338,811,BTP208 - Havanur Circle,WRONG PARKING,CAR,10
76,12.993642632331351,77.66267345803261,851,No Junction,NO PARKING,SCOOTER,14
77,12.93571243973684,77.61589596649124,1140,BTP135 - UCO Bank Junction,NO PARKING,SCOOTER,9
78,12.992341845400421,77.55347603533686,1846,"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",WRONG PARKING,CAR,3
79,12.973750368937875,77.62303259719438,499,No Junction,NO PARKING,CAR,4
80,12.971371656034483,77.59753388480604,928,BTP063 - Siddalingaiah Circle,NO PARKING,CAR,11
81,13.063352024050634,77.58725058196202,316,No Junction,WRONG PARKING,CAR,13
82,12.972259946707103,77.53778656499657,830,BTP028 - Vijayanagar Bus Stand Junction,WRONG PARKING,SCOOTER,10
83,12.958489095163547,77.71574364065684,681,No Junction,WRONG PARKING,CAR,5
84,13.0970889592246,77.59951379385028,748,No Junction,WRONG PARKING,SCOOTER,2
85,12.911696696649486,77.63809982512886,776,No Junction,NO PARKING,SCOOTER,12
86,12.93059601858407,77.6097968300885,226,BTP140 - Madiwala Check Post,WRONG PARKING,CAR,2
87,12.91368073248731,77.60642673519459,591,"BTP163 - 16th Main Road, BTM Layout",NO PARKING,SCOOTER,5
88,12.91713068755005,77.57355836957058,492,"BTP115 - Sahasra Hospital, Jayanagar",NO PARKING,SCOOTER,3
89,12.932415148108928,77.63169007291982,661,No Junction,NO PARKING,CAR,2
90,13.030553618701667,77.5365335800382,614,No Junction,WRONG PARKING,CAR,9
91,12.966435798239436,77.64153069366196,284,"BTP148 - 17th Main, Doopanahalli Bus Stop",NO PARKING,CAR,13
92,13.000106289900662,77.61116400960265,604,No Junction,NO PARKING,SCOOTER,11
93,12.943400306887408,77.69755466664405,354,No Junction,WRONG PARKING,CAR,6
94,12.912317239378723,77.62576402240934,381,No Junction,WRONG PARKING,CAR,11
95,13.03467233291536,77.62440098652037,319,No Junction,NO PARKING,CAR,3
96,13.01533396614729,77.55518829236726,184,No Junction,NO PARKING,CAR,11
97,13.023634630055628,77.58491044571173,402,No Junction,WRONG PARKING,CAR,10
98,12.92523311476624,77.61889675998196,568,BTP137 - Madiwala Traffic PS Junction,NO PARKING,CAR,1
99,12.969596947304806,77.6412533703383,620,No Junction,NO PARKING,MOTOR CYCLE,8
100,12.970558218676507,77.64651752815303,893,No Junction,NO PARKING,CAR,7
101,12.995647387876105,77.61410079566373,1130,No Junction,NO PARKING,SCOOTER,12
102,13.008605337179485,77.54306396709403,234,BTP023 - Mahalaxmi Layout Entrance,WRONG PARKING,CAR,3
103,12.888545029498962,77.56265504233039,322,No Junction,NO PARKING,SCOOTER,11
104,12.989295796364106,77.50058728566711,217,No Junction,NO PARKING,SCOOTER,10
105,13.050488885140561,77.5255347192771,249,No Junction,NO PARKING,SCOOTER,3
106,12.955054051551311,77.58560054343675,419,BTP192 - Urvashi Theater,NO PARKING,CAR,3
107,12.994807024637682,77.61027325917874,414,No Junction,WRONG PARKING,CAR,3
108,12.964414629382304,77.55486573806344,599,BTP091 - Sirsi Circle,NO PARKING,SCOOTER,2
109,12.926727589969605,77.55079341063829,329,BTP155 - Katriguppe Junction,NO PARKING,SCOOTER,11
110,12.996633590854644,77.58430425570242,347,BTP032 - Windsor Circle,NO PARKING,CAR,10
111,13.027677746666667,77.5860215838889,180,No Junction,WRONG PARKING,CAR,8
112,12.96083009220836,77.52825816565488,983,BTP017 - Attiguppe Circle,WRONG PARKING,SCOOTER,12
113,13.191251906652543,77.64622627102756,944,No Junction,NO PARKING,CAR,1
114,12.95794983522267,77.58183817530363,247,BTP167 - JC Road Junction,WRONG PARKING,SCOOTER,8
115,12.996326752363636,77.56313852054546,550,No Junction,NO PARKING,SCOOTER,9
116,12.988921811840777,77.59228589707512,230,BTP034 - LRDE Junction,NO PARKING,CAR,8
117,13.018806504447815,77.55790717800762,350,No Junction,NO PARKING,CAR,4
118,12.8948634012987,77.59913633766234,154,No Junction,NO PARKING,SCOOTER,6
119,12.93938860112108,77.58403349125561,446,"BTP186 - 9th Cross, 4th Main, Jayanagar",WRONG PARKING,SCOOTER,3
120,12.958005467768595,77.58637269008265,363,BTP192 - Urvashi Theater,NO PARKING,CAR,8
121,12.87049332002007,77.65444931086574,436,No Junction,WRONG PARKING,SCOOTER,12
122,12.944015975987561,77.57313755278999,211,BTP108 - Tagore Park Junction,NO PARKING,CAR,4
123,12.982528614086956,77.54893679373913,575,"BTP024 - NPS, Vijayanagar",WRONG PARKING,CAR,4
124,12.970635735912698,77.54632497162697,504,BTP020 - Hosahalli Metro Station,NO PARKING,SCOOTER,4
125,13.071501783018869,77.59265376666667,318,No Junction,WRONG PARKING,CAR,11
126,12.931571045074625,77.58378049462686,335,BTP219 - Canara Bank Junction,NO PARKING,CAR,11
127,12.945147377664462,77.59503003607773,283,"BTP123 - 10th Cross, Wilson Garden",NO PARKING,SCOOTER,4
128,12.840662421838656,77.67674820681495,371,No Junction,NO PARKING,SCOOTER,9
129,12.9585747,77.66823069395973,298,No Junction,WRONG PARKING,SCOOTER,3
130,13.02701014884303,77.57937070658606,232,No Junction,WRONG PARKING,CAR,6
131,12.980734000641817,77.55824051121073,460,BTP010 - Rajajinagar Entrance,NO PARKING,SCOOTER,12
132,12.973983479137464,77.62016220284333,539,No Junction,NO PARKING,CAR,4
133,12.934985743514645,77.53649052384937,239,No Junction,NO PARKING,SCOOTER,2
134,12.987095685892116,77.5802649286307,241,BTP054 - Shivananda Circle,NO PARKING,CAR,7
135,13.053921567272727,77.59274640848484,165,No Junction,WRONG PARKING,SCOOTER,11
136,13.027469056756756,77.54276524914006,407,No Junction,NO PARKING,MOTOR CYCLE,10
137,12.957566321634614,77.51886612836539,416,No Junction,WRONG PARKING,SCOOTER,12
138,12.936560192253522,77.60592003028168,142,BTP126 - Dairy Circle,NO PARKING,CAR,3
139,13.05701558659218,77.54713951173184,179,No Junction,NO PARKING,CAR,11
140,12.927432101164726,77.58595713544094,601,"BTP226 - 33rd Cross, 11th Main, Jayanagar",NO PARKING,CAR,8
141,13.034313685436686,77.55745148205389,196,No Junction,WRONG PARKING,SCOOTER,3
142,12.978179384179105,77.63919158865671,335,No Junction,NO PARKING,SCOOTER,9
143,13.045887333181819,77.75034258772727,220,No Junction,NO PARKING,CAR,12
144,13.047103369325155,77.50099397300613,163,No Junction,WRONG PARKING,SCOOTER,4
145,13.121858943305437,77.63095304832638,239,No Junction,NO PARKING,CAR,13
146,13.028943124038422,77.53972762459938,223,No Junction,NO PARKING,CAR,1
147,12.930900767866326,77.60663185012854,389,BTP136 - Hosur-Tavarkere Road Junction,NO PARKING,SCOOTER,2
148,13.040009715426104,77.51857795760519,309,No Junction,NO PARKING,PASSENGER AUTO,11
149,12.884947051662843,77.64184442837762,297,No Junction,WRONG PARKING,LORRY/GOODS VEHICLE,2
150,12.93678947320574,77.60171271148324,209,BTP126 - Dairy Circle,WRONG PARKING,SCOOTER,6
151,12.994944340106953,77.55194889839572,187,"BTP182 - 19th Main Junction, Rajajinagar",WRONG PARKING,SCOOTER,3
152,12.96358123551939,77.6415303024375,199,"BTP148 - 17th Main, Doopanahalli Bus Stop",NO PARKING,CAR,10
153,12.98241552974184,77.56301050609888,235,BTP010 - Rajajinagar Entrance,NO PARKING,PASSENGER AUTO,11
154,12.98422891169591,77.56012815730995,171,BTP010 - Rajajinagar Entrance,NO PARKING,SCOOTER,9
155,12.913768856758324,77.67799866211234,164,No Junction,WRONG PARKING,SCOOTER,9
